AverageMotorStatorCurrent,AverageMotorPhaseVoltage,MotorActualTorque,TargetTorque,MotorRPM,PropotionalSpeedLimit,CalculatedBatteryCurrent,ControllerCapacitorVoltage,ThrottleInput,Synced,timeStamp
15.0,7.0,3.4375,4.0625,342.0,435,1.8125,99.875,2.48828125,0,1685794218379
15.0,5.8125,3.6875,3.625,313.0,422,1.5,99.8125,2.4609375,0,1685794218479
12.0,5.4375,2.8125,3.4375,286.0,387,1.25,99.8125,2.359375,0,1685794218581
4.0,5.8125,1.0,2.1875,288.0,362,1.0,99.8125,2.24609375,0,1685794218679
6.0,5.4375,-1.8125,1.1875,293.0,318,0.375,99.8125,2.0625,0,1685794218780
13.0,3.5,-3.75,0.0,259.0,247,-0.1875,99.8125,1.77734375,0,1685794218880
16.0,2.6875,-3.375,0.0,185.0,181,-0.4375,99.8125,1.69140625,0,1685794218982
11.0,1.5,-2.5,0.0,125.0,132,-0.3125,99.8125,1.68359375,0,1685794219080
6.0,1.125,-1.0,0.0,73.0,96,-0.1875,99.875,1.71875,0,1685794219181
4.0,2.6875,-0.4375,0.0,66.0,69,-0.125,99.875,1.70703125,0,1685794219280
6.0,1.9375,-2.0625,0.0,87.0,49,-0.125,99.875,1.765625,0,1685794219384
7.0,1.125,-1.4375,0.0,72.0,34,-0.125,99.8125,2.01953125,0,1685794219479
4.0,0.75,0.0,0.125,39.0,28,-0.0625,99.875,2.02734375,0,1685794219581
0.0,0.75,0.0625,0.1875,18.0,27,-0.0625,99.875,2.359375,0,1685794219680
13.0,0.0,3.875,6.0625,-9.0,52,0.0,99.875,2.96875,0,1685794219779
12.0,0.375,2.875,7.875,0.0,87,0.0625,99.8125,2.98046875,0,1685794219880
12.0,0.375,3.0625,7.6875,0.0,116,0.0625,99.8125,3.0078125,0,1685794219982
19.0,0.0,4.5625,7.625,0.0,138,0.125,99.8125,2.984375,0,1685794220080
24.0,1.125,6.1875,7.6875,8.0,188,0.25,99.875,2.9921875,0,1685794220180
32.0,2.3125,7.75,7.9375,43.0,310,0.75,99.8125,3.0703125,0,1685794220280
36.0,2.6875,8.625,8.875,76.0,451,1.1875,99.8125,3.2109375,0,1685794220384
41.0,2.6875,9.6875,9.875,92.0,584,1.5,99.875,3.2890625,0,1685794220480
41.0,3.0625,9.9375,9.9375,102.0,694,1.8125,99.8125,3.2578125,0,1685794220580
44.0,3.5,10.0,10.125,121.0,776,2.0625,99.875,3.26171875,0,1685794220680
38.0,5.0625,9.1875,8.6875,169.0,840,2.4375,99.8125,3.05078125,0,1685794220782
31.0,5.0625,7.125,6.75,201.0,785,2.4375,99.8125,2.7265625,0,1685794220880
19.0,4.625,4.5,3.9375,202.0,723,2.0,99.8125,2.41796875,0,1685794220982
12.0,4.25,2.9375,2.75,206.0,288,1.3125,99.875,2.34765625,0,1685794221079
7.0,3.5,-1.8125,2.875,198.0,288,0.4375,99.8125,2.34765625,0,1685794221181
6.0,2.6875,2.5625,3.1875,162.0,321,0.125,99.875,2.453125,0,1685794221280
16.0,3.875,3.75,3.75,181.0,379,0.5,99.8125,2.484375,0,1685794221380
16.0,5.8125,3.6875,3.75,218.0,376,0.875,99.8125,2.51171875,0,1685794221480
12.0,6.1875,2.1875,3.75,259.0,376,1.0,99.8125,2.47265625,0,1685794221580
0.0,5.8125,-0.0625,3.8125,269.0,385,0.375,99.75,2.41015625,0,1685794221681
4.0,2.3125,1.375,3.125,209.0,318,0.25,99.875,2.38671875,0,1685794221780
